,city,province,address,nearest_city
10361,Liege,liege,Place de la Résistance 9,Liege
10362,Liege,liege,Rue Piedboeuf 33,Liege
10363,Verviers,liege,Rue de Heusy 48-50,Liege
10364,Liege,liege,Quai de Rome 49 51,Liege
10365,Huy,liege,Avenue de Batta 12 92,Namur
10366,Seraing,liege,Rue Comtes d'Egmont-de Hornes 28,Liege
10367,Liege,liege,Impasse Croctay 2,Liege
10368,Liege,liege,Rue Daussoigne Mehul 12,Liege
10369,Liege,liege,Rue Porte aux Oies 6,Liege
10370,Awans,liege,Rue de Fooz 49,Liege
10371,Liege,liege,Rue de Trazegnies 6,Liege
10372,Aywaille,liege,Rue du Chalet 8,Liege
10373,Seraing,liege,Rue du Chêne 62,Liege
10374,Tilleur,liege,Vinave 90,Liege
10375,Chênée,liege,Boulevard de l'Ourthe 136 rez,Liege
10376,Liege,liege,Rue des Fossés 36 1,Liege
10377,Ougrée,liege,Rue des Trixhes 83 0,Liege
10378,Aywaille,liege,Rue du Chalet 8,Liege
10379,Liege,liege,Rue de Hesbaye 244 11,Liege
10380,Wandre,liege,Rue Paire Maquet 5,Liege
10381,Seraing,liege,Rue André Renard 238,Liege
10382,Saint-Nicolas,liege,Rue de Montegnée 138 01,Liege
10383,Alleur,liege,Rue du Fort 24 2,Liege
10384,Huy,liege,Rue Sainte-Catherine 49,Namur
10385,Verviers,liege,Rue de Heusy 48-50,Liege
10386,Wandre,liege,Rue Paire Maquet 9,Liege
10387,Haccourt,liege,Rue de Liège 37,Liege
10388,Aywaille,liege,Rue du Chalet 8,Liege
10389,Seraing,liege,Rue de Montegnée 138 11,Liege
10390,Bressoux,liege,Rue Général de Gaulle 162,Liege
10391,Seraing,liege,Rue Fivé 96,Liege
10392,Liege,liege,Boulevard Frankignoul 3A 32,Liege
10393,Liege,liege,Rue du Commandant Marchand 29 011,Liege
10394,Wandre,liege,Rue Paire Maquet 7,Liege
10395,Liege,liege,Rue Grande-Bêche 135,Liege
10396,Fléron,liege,Parc du Bay-Bonnet 2 7,Liege
10397,Spa,liege,Avenue Reine Astrid 54 1,Liege
10398,Beyne-Heusay,liege,Rue Sartay 19,Liege
10399,Cheratte,liege,Rue Vieille Voie 25,Liege
10400,Grivegnée,liege,Avenue de l'Agriculture 69 0061,Liege
10401,Chênée,liege,Quai des Ardennes 157 75,Liege
10402,Malmedy,liege,Chemin du Calvaire 22 264,Liege
10403,Saint-Nicolas,liege,Ferdinand nicolay 91,Liege
10404,Saint-Nicolas,liege,Rue Ferdinand Nicolay 356,Liege
10405,Liege,liege,Rue Sainte-Walburge 20 0042,Liege
10406,Liege,liege,Rue Robertson 9 0004,Liege
10407,Liege,liege,,Liege
10408,Liege,liege,Rue du Pont de Wandre 96 1,Liege
10409,Liege,liege,Quai Godefroid Kurth 13 49,Liege
10410,Ougrée,liege,,Liege
10411,Grivegnée,liege,Place Joseph Dejardin 20,Liege
10412,Angleur,liege,Rue Vaudrée 277,Liege
10413,Herstal,liege,Rue Large Voie 10,Liege
10414,Gemmenich,liege,Rue César Franck 94,Liege
10415,Sougné-Remouchamps,liege,Allée des Barbeaux 3,Liege
10416,Herstal,liege,Rue Brixhe 38,Liege
10417,Seraing,liege,Rue Peetermans 70,Liege
10418,Jemeppe,liege,Rue Clément 35 1,Liege
